,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,duke,madame,marchioness,marquis
197,Subject,,,12002,50,3.0820986434848403,,,,,,,,,Feature,,,,Category,,,,,
198,Subject,,,11992,60,1.572190156157367,,,,,,,,,Feature,,,,Category,,,,,
199,Subject,,,11982,70,1.1657758742803057,,,,,,,,,Feature,,,,Category,,,,,
200,Subject,,,12051,1,0.2798218211364798,,,,,,,,,,Feature,,,Category,,,,,
201,Subject,,,12047,5,1.3979646713791436,,,,,,,,,,Feature,,,Category,,,,,
202,Subject,,,12042,10,2.7824309647421033,,,,,,,,,,Feature,,,Category,,,,,
203,Subject,,,12037,15,4.1235389224998515,,,,,,,,,,Feature,,,Category,,,,,
204,Subject,,,12032,20,5.397175470858446,,,,,,,,,,Feature,,,Category,,,,,
205,Subject,,,12022,30,7.6880354622705935,,,,,,,,,,Feature,,,Category,,,,,
206,Subject,,,12012,40,5.849726098247466,,,,,,,,,,Feature,,,Category,,,,,
207,Subject,,,12002,50,3.903576194634244,,,,,,,,,,Feature,,,Category,,,,,
208,Subject,,,11992,60,2.557046816729356,,,,,,,,,,Feature,,,Category,,,,,
209,Subject,,,11982,70,2.167640986100605,,,,,,,,,,Feature,,,Category,,,,,
210,Subject,,,12051,1,0.44374282762617023,,,,,,,,,,,Feature,,Category,,,,,
211,Subject,,,12047,5,2.217138342391793,,,,,,,,,,,Feature,,Category,,,,,
212,Subject,,,12042,10,4.404378990829979,,,,,,,,,,,Feature,,Category,,,,,
213,Subject,,,12037,15,6.473559403200319,,,,,,,,,,,Feature,,Category,,,,,
214,Subject,,,12032,20,8.30931619962395,,,,,,,,,,,Feature,,Category,,,,,
215,Subject,,,12022,30,11.015142342508554,,,,,,,,,,,Feature,,Category,,,,,
216,Subject,,,12012,40,5.369098186266428,,,,,,,,,,,Feature,,Category,,,,,
217,Subject,,,12002,50,2.2963383959077204,,,,,,,,,,,Feature,,Category,,,,,
218,Subject,,,11992,60,1.0756708387787095,,,,,,,,,,,Feature,,Category,,,,,
219,Subject,,,11982,70,0.7727114431168755,,,,,,,,,,,Feature,,Category,,,,,
220,Subject,,,12051,1,0.9676361102017128,,,,,,,,,,,,Feature,Category,,,,,
221,Subject,,,12047,5,4.8022501142391425,,,,,,,,,,,,Feature,Category,,,,,
222,Subject,,,12042,10,9.521849932698954,,,,,,,,,,,,Feature,Category,,,,,
223,Subject,,,12037,15,12.795794509475314,,,,,,,,,,,,Feature,Category,,,,,
224,Subject,,,12032,20,13.44836030042178,,,,,,,,,,,,Feature,Category,,,,,
225,Subject,,,12022,30,13.551591796778297,,,,,,,,,,,,Feature,Category,,,,,
226,Subject,,,12012,40,0.5992720701240399,,,,,,,,,,,,Feature,Category,,,,,
227,Subject,,,12002,50,0.03997135749640348,,,,,,,,,,,,Feature,Category,,,,,
228,Subject,,,11992,60,0.007501060073845583,,,,,,,,,,,,Feature,Category,,,,,
229,Subject,,,11982,70,0.0025022793769253933,,,,,,,,,,,,Feature,Category,,,,,
230,,Category,Feature,12051,1,0.23345657732418135,,,,,,,,,,,,,,Subject,,,,
231,,Category,Feature,12047,5,1.1634860284099655,,,,,,,,,,,,,,Subject,,,,
232,,Category,Feature,12042,10,2.3115163856426997,,,,,,,,,,,,,,Subject,,,,
233,,Category,Feature,12037,15,3.431968290442986,,,,,,,,,,,,,,Subject,,,,
234,,Category,Feature,12032,20,4.495029656049306,,,,,,,,,,,,,,Subject,,,,
235,,Category,Feature,12022,30,6.404237612025743,,,,,,,,,,,,,,Subject,,,,
236,,Category,Feature,12012,40,5.351968178803664,,,,,,,,,,,,,,Subject,,,,
237,,Category,Feature,12002,50,4.006597933925937,,,,,,,,,,,,,,Subject,,,,
238,,Category,Feature,11992,60,3.083684817528229,,,,,,,,,,,,,,Subject,,,,
239,,Category,Feature,11982,70,2.7656892066001837,,,,,,,,,,,,,,Subject,,,,
240,,,,12051,1,0.9676361102017128,Category,Feature,,,,,,,,,,,,Subject,,,,
241,,,,12047,5,4.8022501142391425,Category,Feature,,,,,,,,,,,,Subject,,,,
242,,,,12042,10,9.521849932698954,Category,Feature,,,,,,,,,,,,Subject,,,,
243,,,,12037,15,12.795794509475314,Category,Feature,,,,,,,,,,,,Subject,,,,
