,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,jason,sir condy
174,Subject,,,5972,20,5.358539050228252,,,,,,,Feature,,,,,,Category,,,
175,Subject,,,5962,30,7.50956538679811,,,,,,,Feature,,,,,,Category,,,
176,Subject,,,5952,40,5.593955778320213,,,,,,,Feature,,,,,,Category,,,
177,Subject,,,5942,50,3.6549291178019896,,,,,,,Feature,,,,,,Category,,,
178,Subject,,,5932,60,2.4347804036779457,,,,,,,Feature,,,,,,Category,,,
179,Subject,,,5922,70,2.087565907372812,,,,,,,Feature,,,,,,Category,,,
180,Subject,,,5991,1,0.3062368150508062,,,,,,,,Feature,,,,,Category,,,
181,Subject,,,5987,5,1.528791288833667,,,,,,,,Feature,,,,,Category,,,
182,Subject,,,5982,10,3.0281956029018637,,,,,,,,Feature,,,,,Category,,,
183,Subject,,,5977,15,4.4615596095133645,,,,,,,,Feature,,,,,Category,,,
184,Subject,,,5972,20,5.8012573926518245,,,,,,,,Feature,,,,,Category,,,
185,Subject,,,5962,30,8.070224488096594,,,,,,,,Feature,,,,,Category,,,
186,Subject,,,5952,40,5.987124935487308,,,,,,,,Feature,,,,,Category,,,
187,Subject,,,5942,50,3.939665339661275,,,,,,,,Feature,,,,,Category,,,
188,Subject,,,5932,60,2.4823353399061228,,,,,,,,Feature,,,,,Category,,,
189,Subject,,,5922,70,2.0134920586823966,,,,,,,,Feature,,,,,Category,,,
190,Subject,,,5991,1,0.2598926744406192,,,,,,,,,Feature,,,,Category,,,
191,Subject,,,5987,5,1.2966020955107413,,,,,,,,,Feature,,,,Category,,,
192,Subject,,,5982,10,2.555913197750037,,,,,,,,,Feature,,,,Category,,,
193,Subject,,,5977,15,3.760769560601841,,,,,,,,,Feature,,,,Category,,,
194,Subject,,,5972,20,4.8966651302458475,,,,,,,,,Feature,,,,Category,,,
195,Subject,,,5962,30,6.914162288511707,,,,,,,,,Feature,,,,Category,,,
196,Subject,,,5952,40,5.582957160109925,,,,,,,,,Feature,,,,Category,,,
197,Subject,,,5942,50,3.9464495980035705,,,,,,,,,Feature,,,,Category,,,
198,Subject,,,5932,60,2.7659411151900106,,,,,,,,,Feature,,,,Category,,,
199,Subject,,,5922,70,2.403543405205103,,,,,,,,,Feature,,,,Category,,,
200,Subject,,,5991,1,0.24637931182937323,,,,,,,,,,Feature,,,Category,,,
201,Subject,,,5987,5,1.2286990914208193,,,,,,,,,,Feature,,,Category,,,
202,Subject,,,5982,10,2.43641348628172,,,,,,,,,,Feature,,,Category,,,
203,Subject,,,5977,15,3.598433657533201,,,,,,,,,,Feature,,,Category,,,
204,Subject,,,5972,20,4.701752013876879,,,,,,,,,,Feature,,,Category,,,
205,Subject,,,5962,30,6.657688866967802,,,,,,,,,,Feature,,,Category,,,
206,Subject,,,5952,40,5.365690828031858,,,,,,,,,,Feature,,,Category,,,
207,Subject,,,5942,50,3.8303084813461594,,,,,,,,,,Feature,,,Category,,,
208,Subject,,,5932,60,2.8013189484283574,,,,,,,,,,Feature,,,Category,,,
209,Subject,,,5922,70,2.5103135524575957,,,,,,,,,,Feature,,,Category,,,
210,Subject,,,5991,1,0.41942200763876786,,,,,,,,,,,Feature,,Category,,,
211,Subject,,,5987,5,2.094727515067123,,,,,,,,,,,Feature,,Category,,,
212,Subject,,,5982,10,4.142211524989983,,,,,,,,,,,Feature,,Category,,,
213,Subject,,,5977,15,6.046179985600334,,,,,,,,,,,Feature,,Category,,,
214,Subject,,,5972,20,7.704160328044724,,,,,,,,,,,Feature,,Category,,,
215,Subject,,,5962,30,10.095988579023942,,,,,,,,,,,Feature,,Category,,,
216,Subject,,,5952,40,5.423272734413877,,,,,,,,,,,Feature,,Category,,,
217,Subject,,,5942,50,2.675361357419579,,,,,,,,,,,Feature,,Category,,,
218,Subject,,,5932,60,1.1936619243665734,,,,,,,,,,,Feature,,Category,,,
219,Subject,,,5922,70,0.8659587709836797,,,,,,,,,,,Feature,,Category,,,
220,Subject,,,5991,1,0.9777700798803303,,,,,,,,,,,,Feature,Category,,,
221,Subject,,,5987,5,4.840453482446446,,,,,,,,,,,,Feature,Category,,,
222,Subject,,,5982,10,9.530300994797651,,,,,,,,,,,,Feature,Category,,,
223,Subject,,,5977,15,12.088578278446924,,,,,,,,,,,,Feature,Category,,,
224,Subject,,,5972,20,12.478178045895426,,,,,,,,,,,,Feature,Category,,,
225,Subject,,,5962,30,12.537219707289415,,,,,,,,,,,,Feature,Category,,,
226,Subject,,,5952,40,0.5017639074812527,,,,,,,,,,,,Feature,Category,,,
227,Subject,,,5942,50,0.030580954534145447,,,,,,,,,,,,Feature,Category,,,
228,Subject,,,5932,60,0.0,,,,,,,,,,,,Feature,Category,,,
229,Subject,,,5922,70,0.0,,,,,,,,,,,,Feature,Category,,,
230,,Category,Feature,5991,1,0.23949949813889762,,,,,,,,,,,,,,Subject,,
231,,Category,Feature,5987,5,1.1940183705707388,,,,,,,,,,,,,,Subject,,
232,,Category,Feature,5982,10,2.367045044997049,,,,,,,,,,,,,,Subject,,
233,,Category,Feature,5977,15,3.4994831115525478,,,,,,,,,,,,,,Subject,,
234,,Category,Feature,5972,20,4.5629029863579245,,,,,,,,,,,,,,Subject,,
235,,Category,Feature,5962,30,6.457413585698137,,,,,,,,,,,,,,Subject,,
236,,Category,Feature,5952,40,5.485710495290642,,,,,,,,,,,,,,Subject,,
237,,Category,Feature,5942,50,4.1773440417652585,,,,,,,,,,,,,,Subject,,
238,,Category,Feature,5932,60,3.1049578744090565,,,,,,,,,,,,,,Subject,,
239,,Category,Feature,5922,70,2.7383070830044995,,,,,,,,,,,,,,Subject,,
240,,,,5991,1,0.2598926744406192,Category,Feature,,,,,,,,,,,,Subject,,
241,,,,5987,5,1.2966020955107413,Category,Feature,,,,,,,,,,,,Subject,,
242,,,,5982,10,2.555913197750037,Category,Feature,,,,,,,,,,,,Subject,,
243,,,,5977,15,3.760769560601841,Category,Feature,,,,,,,,,,,,Subject,,
244,,,,5972,20,4.8966651302458475,Category,Feature,,,,,,,,,,,,Subject,,
245,,,,5962,30,6.914162288511707,Category,Feature,,,,,,,,,,,,Subject,,
246,,,,5952,40,5.582957160109925,Category,Feature,,,,,,,,,,,,Subject,,
247,,,,5942,50,3.9464495980035705,Category,Feature,,,,,,,,,,,,Subject,,
248,,,,5932,60,2.7659411151900106,Category,Feature,,,,,,,,,,,,Subject,,
249,,,,5922,70,2.403543405205103,Category,Feature,,,,,,,,,,,,Subject,,
250,,,,5991,1,0.008005871761677557,Category,,Feature,,,,,,,,,,,Subject,,
251,,,,5987,5,0.040046434592448124,Category,,Feature,,,,,,,,,,,Subject,,
252,,,,5982,10,0.08013555998026273,Category,,Feature,,,,,,,,,,,Subject,,
253,,,,5977,15,0.12026737777179373,Category,,Feature,,,,,,,,,,,Subject,,
254,,,,5972,20,0.1604418886825614,Category,,Feature,,,,,,,,,,,Subject,,
255,,,,5962,30,0.24091898816828008,Category,,Feature,,,,,,,,,,,Subject,,
256,,,,5952,40,0.29144473507035834,Category,,Feature,,,,,,,,,,,Subject,,
257,,,,5942,50,0.30029557962890085,Category,,Feature,,,,,,,,,,,Subject,,
