,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,character,friend,husband
183,Subject,,,11989,15,4.870136409740384,,,,,,,,Feature,,,,,Category,,,,
184,Subject,,,11984,20,6.323831063371871,,,,,,,,Feature,,,,,Category,,,,
185,Subject,,,11974,30,8.721731173239831,,,,,,,,Feature,,,,,Category,,,,
186,Subject,,,11964,40,5.900146439213299,,,,,,,,Feature,,,,,Category,,,,
187,Subject,,,11954,50,3.67205163534803,,,,,,,,Feature,,,,,Category,,,,
188,Subject,,,11944,60,2.3103242726489825,,,,,,,,Feature,,,,,Category,,,,
189,Subject,,,11934,70,1.9324888375246976,,,,,,,,Feature,,,,,Category,,,,
190,Subject,,,12003,1,0.28421643865354973,,,,,,,,,Feature,,,,Category,,,,
191,Subject,,,11999,5,1.4141147018083287,,,,,,,,,Feature,,,,Category,,,,
192,Subject,,,11994,10,2.804532060646879,,,,,,,,,Feature,,,,Category,,,,
193,Subject,,,11989,15,4.1385650380076155,,,,,,,,,Feature,,,,Category,,,,
194,Subject,,,11984,20,5.393678550871012,,,,,,,,,Feature,,,,Category,,,,
195,Subject,,,11974,30,7.583024182639622,,,,,,,,,Feature,,,,Category,,,,
196,Subject,,,11964,40,5.800869256260912,,,,,,,,,Feature,,,,Category,,,,
197,Subject,,,11954,50,4.054218348892779,,,,,,,,,Feature,,,,Category,,,,
198,Subject,,,11944,60,2.8455239813463367,,,,,,,,,Feature,,,,Category,,,,
199,Subject,,,11934,70,2.4471142130672376,,,,,,,,,Feature,,,,Category,,,,
200,Subject,,,12003,1,0.20592208567805353,,,,,,,,,,Feature,,,Category,,,,
201,Subject,,,11999,5,1.0285601030779123,,,,,,,,,,Feature,,,Category,,,,
202,Subject,,,11994,10,2.050327428372306,,,,,,,,,,Feature,,,Category,,,,
203,Subject,,,11989,15,3.054153731095189,,,,,,,,,,Feature,,,Category,,,,
204,Subject,,,11984,20,4.0272768650486634,,,,,,,,,,Feature,,,Category,,,,
205,Subject,,,11974,30,5.846483285941102,,,,,,,,,,Feature,,,Category,,,,
206,Subject,,,11964,40,5.17610453891484,,,,,,,,,,Feature,,,Category,,,,
207,Subject,,,11954,50,4.044158944922254,,,,,,,,,,Feature,,,Category,,,,
208,Subject,,,11944,60,3.0891077729202396,,,,,,,,,,Feature,,,Category,,,,
209,Subject,,,11934,70,2.7810147034466204,,,,,,,,,,Feature,,,Category,,,,
210,Subject,,,12003,1,0.38605299216343936,,,,,,,,,,,Feature,,Category,,,,
211,Subject,,,11999,5,1.9242653836595973,,,,,,,,,,,Feature,,Category,,,,
212,Subject,,,11994,10,3.819685451366964,,,,,,,,,,,Feature,,Category,,,,
213,Subject,,,11989,15,5.602027570804211,,,,,,,,,,,Feature,,Category,,,,
214,Subject,,,11984,20,7.209969224557826,,,,,,,,,,,Feature,,Category,,,,
215,Subject,,,11974,30,9.734140331032707,,,,,,,,,,,Feature,,Category,,,,
216,Subject,,,11964,40,5.818005447894301,,,,,,,,,,,Feature,,Category,,,,
217,Subject,,,11954,50,3.258394307553804,,,,,,,,,,,Feature,,Category,,,,
218,Subject,,,11944,60,1.8471035877445514,,,,,,,,,,,Feature,,Category,,,,
219,Subject,,,11934,70,1.480082596767581,,,,,,,,,,,Feature,,Category,,,,
220,Subject,,,12003,1,0.9248171104772633,,,,,,,,,,,,Feature,Category,,,,
221,Subject,,,11999,5,4.538763991876884,,,,,,,,,,,,Feature,Category,,,,
222,Subject,,,11994,10,8.949026719404156,,,,,,,,,,,,Feature,Category,,,,
