,NER_CARDINAL,NER_DATE,NER_GPE,NER_ORG,NER_PERSON,WN_entity,WN_female,WN_male,WN_person,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t,mention_categ
126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2917,PRON,he,PRP,He,2917,environment
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2924,DET,his,PRP$,his,2917,environment
128,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2929,PRON,he,PRP,he,2917,environment
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2937,DET,his,PRP$,his,2917,environment
130,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2941,PRON,he,PRP,he,2917,environment
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2946,DET,his,PRP$,his,2917,environment
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2954,DET,his,PRP$,his,2917,environment
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2964,PRON,himself,PRP,himself,2917,environment
134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,NOUN,mariner,NN,a mariner,2981,NOUN,man,NN,the old man,2980,person
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2988,PRON,himself,PRP,himself,2980,environment
136,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,2999,PRON,he,PRP,he,2980,environment
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3006,DET,his,PRP$,his,2980,environment
138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3012,PRON,he,PRP,he,2980,environment
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3015,DET,his,PRP$,his,2980,environment
140,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3036,PRON,he,PRP,He,3036,environment
141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NOUN,mariner,NN,a mariner,3042,PRON,he,PRP,he,3036,environment
