,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,abbot,ambrosio,brother,elvira,grave,lorenzo,marquis,monk,nuns,raymond,segnor,theodore
203,Subject,,,26015,15,6.779563701191217,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
204,Subject,,,26010,20,8.780417616238129,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
205,Subject,,,26000,30,11.858528971345654,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
206,Subject,,,25990,40,5.558032930275123,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
207,Subject,,,25980,50,2.133990121860169,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
208,Subject,,,25970,60,0.8967026372196326,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
209,Subject,,,25960,70,0.6477239993860784,,,,,,,,,,Feature,,,Category,,,,,,,,,,,,,
210,Subject,,,26029,1,0.7111340001952682,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
211,Subject,,,26025,5,3.5525482412505793,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
212,Subject,,,26020,10,7.076807828982234,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
213,Subject,,,26015,15,10.294199505615461,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
214,Subject,,,26010,20,12.603496334149126,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
215,Subject,,,26000,30,14.383994910407628,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
216,Subject,,,25990,40,2.487598879631397,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
217,Subject,,,25980,50,0.37401492790475,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
218,Subject,,,25970,60,0.07131175438957503,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
219,Subject,,,25960,70,0.038463342292575364,,,,,,,,,,,Feature,,Category,,,,,,,,,,,,,
220,Subject,,,26029,1,0.6030351257038793,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
221,Subject,,,26025,5,3.010356696420331,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
222,Subject,,,26020,10,5.9850721022680995,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
223,Subject,,,26015,15,8.748009660090597,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
224,Subject,,,26010,20,10.970544574746315,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
225,Subject,,,26000,30,13.50594729729455,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
226,Subject,,,25990,40,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
227,Subject,,,25980,50,0.0,,,,,,,,,,,,Feature,Category,,,,,,,,,,,,,
