,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,baronet,bellamy,camilla,doctor,dr. marchmont,dr. orkborne,edgar,friend,gentleman,jacob,major cerwood,mandlebert,mary,melmond,miss margland,mr. dubster,mr. tyrold,mrs. arlbery,mrs. berlinton,mrs. mittin,mrs. tyrold,my dear,sir hugh,sir sedley
172,Subject,,,64596,10,5.43352881402762,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
173,Subject,,,64591,15,8.041338177765814,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
174,Subject,,,64586,20,10.347929766438023,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
175,Subject,,,64576,30,13.566531835210482,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
176,Subject,,,64566,40,5.09221311371848,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
177,Subject,,,64556,50,1.776183691914624,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
178,Subject,,,64546,60,0.6812149126599047,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
179,Subject,,,64536,70,0.4847325157496428,,,,,,,Feature,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
180,Subject,,,64605,1,0.5800604465157373,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
181,Subject,,,64601,5,2.896722169261803,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
182,Subject,,,64596,10,5.779342367116248,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
183,Subject,,,64591,15,8.546223089610898,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
184,Subject,,,64586,20,10.954020883639293,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
185,Subject,,,64576,30,14.07820349428172,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
186,Subject,,,64566,40,4.587442137806143,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
187,Subject,,,64556,50,1.4215311032995641,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
188,Subject,,,64546,60,0.4976986694858385,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
189,Subject,,,64536,70,0.329285767943152,,,,,,,,Feature,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
190,Subject,,,64605,1,0.5467444056658233,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
191,Subject,,,64601,5,2.729576484501394,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
192,Subject,,,64596,10,5.44482371468667,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
193,Subject,,,64591,15,8.060098157113337,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
194,Subject,,,64586,20,10.377857478966028,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
195,Subject,,,64576,30,13.62730122128069,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
196,Subject,,,64566,40,4.987108592792222,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
197,Subject,,,64556,50,1.637411205376864,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
198,Subject,,,64546,60,0.5626895139053947,,,,,,,,,Feature,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,
