,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
161,Subject,,,21574,5,3.6841907455877214,,,,,,Feature,,,,,,,Category,,,,,,,,
162,Subject,,,21569,10,7.338186685838901,,,,,,Feature,,,,,,,Category,,,,,,,,
163,Subject,,,21564,15,10.628861256102638,,,,,,Feature,,,,,,,Category,,,,,,,,
164,Subject,,,21559,20,12.841234544474245,,,,,,Feature,,,,,,,Category,,,,,,,,
165,Subject,,,21549,30,14.277406903684996,,,,,,Feature,,,,,,,Category,,,,,,,,
166,Subject,,,21539,40,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,
167,Subject,,,21529,50,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,
168,Subject,,,21519,60,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,
169,Subject,,,21509,70,0.005889657182910226,,,,,,Feature,,,,,,,Category,,,,,,,,
170,Subject,,,21578,1,0.4455281359408906,,,,,,,Feature,,,,,,Category,,,,,,,,
171,Subject,,,21574,5,2.2230954869454935,,,,,,,Feature,,,,,,Category,,,,,,,,
172,Subject,,,21569,10,4.425601208404959,,,,,,,Feature,,,,,,Category,,,,,,,,
173,Subject,,,21564,15,6.519021917520446,,,,,,,Feature,,,,,,Category,,,,,,,,
174,Subject,,,21559,20,8.384467385004621,,,,,,,Feature,,,,,,Category,,,,,,,,
175,Subject,,,21549,30,11.16435230712155,,,,,,,Feature,,,,,,Category,,,,,,,,
176,Subject,,,21539,40,5.648985214652881,,,,,,,Feature,,,,,,Category,,,,,,,,
177,Subject,,,21529,50,2.7086935774078547,,,,,,,Feature,,,,,,Category,,,,,,,,
178,Subject,,,21519,60,1.3875693654500687,,,,,,,Feature,,,,,,Category,,,,,,,,
179,Subject,,,21509,70,1.0846537926019664,,,,,,,Feature,,,,,,Category,,,,,,,,
180,Subject,,,21578,1,0.5803515495969471,,,,,,,,Feature,,,,,Category,,,,,,,,
181,Subject,,,21574,5,2.9000902826588444,,,,,,,,Feature,,,,,Category,,,,,,,,
182,Subject,,,21569,10,5.768948746497444,,,,,,,,Feature,,,,,Category,,,,,,,,
183,Subject,,,21564,15,8.428164213939995,,,,,,,,Feature,,,,,Category,,,,,,,,
184,Subject,,,21559,20,10.592163861564766,,,,,,,,Feature,,,,,Category,,,,,,,,
185,Subject,,,21549,30,13.120469412393467,,,,,,,,Feature,,,,,Category,,,,,,,,
186,Subject,,,21539,40,4.163301643312365,,,,,,,,Feature,,,,,Category,,,,,,,,
187,Subject,,,21529,50,1.2581487818003907,,,,,,,,Feature,,,,,Category,,,,,,,,
188,Subject,,,21519,60,0.36572351992986396,,,,,,,,Feature,,,,,Category,,,,,,,,
189,Subject,,,21509,70,0.2144070774449436,,,,,,,,Feature,,,,,Category,,,,,,,,
190,Subject,,,21578,1,0.46133937153763493,,,,,,,,,Feature,,,,Category,,,,,,,,
191,Subject,,,21574,5,2.3018352452482094,,,,,,,,,Feature,,,,Category,,,,,,,,
192,Subject,,,21569,10,4.572390916968857,,,,,,,,,Feature,,,,Category,,,,,,,,
193,Subject,,,21564,15,6.708051955278494,,,,,,,,,Feature,,,,Category,,,,,,,,
