,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,albert,baron,edwin,madeline,roseline,sir philip,walter
164,Subject,,,14882,20,13.56330446220324,,,,,,Feature,,,,,,,Category,,,,,,,,
165,Subject,,,14872,30,13.844394743025665,,,,,,Feature,,,,,,,Category,,,,,,,,
166,Subject,,,14862,40,1.0047851712944516,,,,,,Feature,,,,,,,Category,,,,,,,,
167,Subject,,,14852,50,0.14005142091060552,,,,,,Feature,,,,,,,Category,,,,,,,,
168,Subject,,,14842,60,0.008246707477981919,,,,,,Feature,,,,,,,Category,,,,,,,,
169,Subject,,,14832,70,0.0,,,,,,Feature,,,,,,,Category,,,,,,,,
170,Subject,,,14901,1,0.36163402787633164,,,,,,,Feature,,,,,,Category,,,,,,,,
171,Subject,,,14897,5,1.804560273250843,,,,,,,Feature,,,,,,Category,,,,,,,,
172,Subject,,,14892,10,3.58978012426504,,,,,,,Feature,,,,,,Category,,,,,,,,
173,Subject,,,14887,15,5.2958311102093605,,,,,,,Feature,,,,,,Category,,,,,,,,
174,Subject,,,14882,20,6.861118933431247,,,,,,,Feature,,,,,,Category,,,,,,,,
175,Subject,,,14872,30,9.428915757741123,,,,,,,Feature,,,,,,Category,,,,,,,,
176,Subject,,,14862,40,5.918072893173456,,,,,,,Feature,,,,,,Category,,,,,,,,
177,Subject,,,14852,50,3.3088379619888637,,,,,,,Feature,,,,,,Category,,,,,,,,
178,Subject,,,14842,60,1.8827813329336183,,,,,,,Feature,,,,,,Category,,,,,,,,
179,Subject,,,14832,70,1.5451202229656316,,,,,,,Feature,,,,,,Category,,,,,,,,
180,Subject,,,14901,1,0.3957431277855785,,,,,,,,Feature,,,,,Category,,,,,,,,
181,Subject,,,14897,5,1.9724949918844834,,,,,,,,Feature,,,,,Category,,,,,,,,
182,Subject,,,14892,10,3.9180703460870876,,,,,,,,Feature,,,,,Category,,,,,,,,
183,Subject,,,14887,15,5.760875083759543,,,,,,,,Feature,,,,,Category,,,,,,,,
184,Subject,,,14882,20,7.410993676461992,,,,,,,,Feature,,,,,Category,,,,,,,,
185,Subject,,,14872,30,9.990888431036673,,,,,,,,Feature,,,,,Category,,,,,,,,
186,Subject,,,14862,40,5.836257496356141,,,,,,,,Feature,,,,,Category,,,,,,,,
187,Subject,,,14852,50,3.1263415705731736,,,,,,,,Feature,,,,,Category,,,,,,,,
188,Subject,,,14842,60,1.7670827945283296,,,,,,,,Feature,,,,,Category,,,,,,,,
189,Subject,,,14832,70,1.4402410892437485,,,,,,,,Feature,,,,,Category,,,,,,,,
190,Subject,,,14901,1,0.357332646480498,,,,,,,,,Feature,,,,Category,,,,,,,,
191,Subject,,,14897,5,1.7840396802748981,,,,,,,,,Feature,,,,Category,,,,,,,,
192,Subject,,,14892,10,3.5492370187085562,,,,,,,,,Feature,,,,Category,,,,,,,,
193,Subject,,,14887,15,5.236559122828033,,,,,,,,,Feature,,,,Category,,,,,,,,
194,Subject,,,14882,20,6.784434024974721,,,,,,,,,Feature,,,,Category,,,,,,,,
195,Subject,,,14872,30,9.32296502938617,,,,,,,,,Feature,,,,Category,,,,,,,,
196,Subject,,,14862,40,5.923630978744636,,,,,,,,,Feature,,,,Category,,,,,,,,
197,Subject,,,14852,50,3.4447623161543133,,,,,,,,,Feature,,,,Category,,,,,,,,
198,Subject,,,14842,60,2.0597740128385067,,,,,,,,,Feature,,,,Category,,,,,,,,
199,Subject,,,14832,70,1.7217727749707346,,,,,,,,,Feature,,,,Category,,,,,,,,
200,Subject,,,14901,1,0.295436265374864,,,,,,,,,,Feature,,,Category,,,,,,,,
201,Subject,,,14897,5,1.4753640930209544,,,,,,,,,,Feature,,,Category,,,,,,,,
202,Subject,,,14892,10,2.938246057937038,,,,,,,,,,Feature,,,Category,,,,,,,,
203,Subject,,,14887,15,4.360063910278388,,,,,,,,,,Feature,,,Category,,,,,,,,
204,Subject,,,14882,20,5.705319684122909,,,,,,,,,,Feature,,,Category,,,,,,,,
205,Subject,,,14872,30,8.067633849085295,,,,,,,,,,Feature,,,Category,,,,,,,,
206,Subject,,,14862,40,5.906897675047064,,,,,,,,,,Feature,,,Category,,,,,,,,
207,Subject,,,14852,50,3.841132211304429,,,,,,,,,,Feature,,,Category,,,,,,,,
208,Subject,,,14842,60,2.5085843945658635,,,,,,,,,,Feature,,,Category,,,,,,,,
209,Subject,,,14832,70,2.1122752915217733,,,,,,,,,,Feature,,,Category,,,,,,,,
210,Subject,,,14901,1,0.46212944985342785,,,,,,,,,,,Feature,,Category,,,,,,,,
211,Subject,,,14897,5,2.304872940997064,,,,,,,,,,,Feature,,Category,,,,,,,,
212,Subject,,,14892,10,4.57726671703651,,,,,,,,,,,Feature,,Category,,,,,,,,
213,Subject,,,14887,15,6.712843937413476,,,,,,,,,,,Feature,,Category,,,,,,,,
214,Subject,,,14882,20,8.578457872621616,,,,,,,,,,,Feature,,Category,,,,,,,,
215,Subject,,,14872,30,11.243124349131312,,,,,,,,,,,Feature,,Category,,,,,,,,
216,Subject,,,14862,40,5.424298162962643,,,,,,,,,,,Feature,,Category,,,,,,,,
217,Subject,,,14852,50,2.4967736187024383,,,,,,,,,,,Feature,,Category,,,,,,,,
218,Subject,,,14842,60,1.3143476618409375,,,,,,,,,,,Feature,,Category,,,,,,,,
219,Subject,,,14832,70,1.0234335596644397,,,,,,,,,,,Feature,,Category,,,,,,,,
220,Subject,,,14901,1,0.9556678766704572,,,,,,,,,,,,Feature,Category,,,,,,,,
221,Subject,,,14897,5,4.723909303327284,,,,,,,,,,,,Feature,Category,,,,,,,,
222,Subject,,,14892,10,9.356319873655885,,,,,,,,,,,,Feature,Category,,,,,,,,
223,Subject,,,14887,15,12.746703839263265,,,,,,,,,,,,Feature,Category,,,,,,,,
224,Subject,,,14882,20,13.621590535140276,,,,,,,,,,,,Feature,Category,,,,,,,,
