,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,ann,henry,mary
178,Subject,,,4534,60,2.0116627890818886,,,,,,,Feature,,,,,,Category,,,
179,Subject,,,4524,70,1.6902580240850842,,,,,,,Feature,,,,,,Category,,,
180,Subject,,,4593,1,0.3540221414296686,,,,,,,,Feature,,,,,Category,,,
181,Subject,,,4589,5,1.7620176319748504,,,,,,,,Feature,,,,,Category,,,
182,Subject,,,4584,10,3.4944941299818018,,,,,,,,Feature,,,,,Category,,,
183,Subject,,,4579,15,5.13925027182452,,,,,,,,Feature,,,,,Category,,,
184,Subject,,,4574,20,6.611179500820868,,,,,,,,Feature,,,,,Category,,,
185,Subject,,,4564,30,8.879158508836863,,,,,,,,Feature,,,,,Category,,,
186,Subject,,,4554,40,5.611373246915514,,,,,,,,Feature,,,,,Category,,,
187,Subject,,,4544,50,3.1382939236820007,,,,,,,,Feature,,,,,Category,,,
188,Subject,,,4534,60,1.8834917524057235,,,,,,,,Feature,,,,,Category,,,
189,Subject,,,4524,70,1.5461713044631833,,,,,,,,Feature,,,,,Category,,,
190,Subject,,,4593,1,0.3338247550574414,,,,,,,,,Feature,,,,Category,,,
191,Subject,,,4589,5,1.6663461316694335,,,,,,,,,Feature,,,,Category,,,
192,Subject,,,4584,10,3.303376351937384,,,,,,,,,Feature,,,,Category,,,
193,Subject,,,4579,15,4.851861426242756,,,,,,,,,Feature,,,,Category,,,
194,Subject,,,4574,20,6.238204241931026,,,,,,,,,Feature,,,,Category,,,
195,Subject,,,4564,30,8.353698086262852,,,,,,,,,Feature,,,,Category,,,
196,Subject,,,4554,40,5.463283199460944,,,,,,,,,Feature,,,,Category,,,
197,Subject,,,4544,50,3.3928128565597793,,,,,,,,,Feature,,,,Category,,,
198,Subject,,,4534,60,2.1519591295946805,,,,,,,,,Feature,,,,Category,,,
199,Subject,,,4524,70,1.8176339588960213,,,,,,,,,Feature,,,,Category,,,
200,Subject,,,4593,1,0.22224785632731636,,,,,,,,,,Feature,,,Category,,,
201,Subject,,,4589,5,1.1050243344456088,,,,,,,,,,Feature,,,Category,,,
202,Subject,,,4584,10,2.191440439737428,,,,,,,,,,Feature,,,Category,,,
203,Subject,,,4579,15,3.2506195728234473,,,,,,,,,,Feature,,,Category,,,
204,Subject,,,4574,20,4.25764743846769,,,,,,,,,,Feature,,,Category,,,
205,Subject,,,4564,30,6.074673485797655,,,,,,,,,,Feature,,,Category,,,
206,Subject,,,4554,40,5.352797296562805,,,,,,,,,,Feature,,,Category,,,
207,Subject,,,4544,50,4.011467494889377,,,,,,,,,,Feature,,,Category,,,
208,Subject,,,4534,60,2.9433219135933584,,,,,,,,,,Feature,,,Category,,,
209,Subject,,,4524,70,2.5788402996241566,,,,,,,,,,Feature,,,Category,,,
210,Subject,,,4593,1,0.4207458946944861,,,,,,,,,,,Feature,,Category,,,
211,Subject,,,4589,5,2.094615072212743,,,,,,,,,,,Feature,,Category,,,
212,Subject,,,4584,10,4.133760625785465,,,,,,,,,,,Feature,,Category,,,
213,Subject,,,4579,15,6.044791731837456,,,,,,,,,,,Feature,,Category,,,
214,Subject,,,4574,20,7.689314535379443,,,,,,,,,,,Feature,,Category,,,
215,Subject,,,4564,30,9.997416701853252,,,,,,,,,,,Feature,,Category,,,
216,Subject,,,4554,40,5.375779369098191,,,,,,,,,,,Feature,,Category,,,
217,Subject,,,4544,50,2.5926852934212183,,,,,,,,,,,Feature,,Category,,,
218,Subject,,,4534,60,1.2271417271975573,,,,,,,,,,,Feature,,Category,,,
219,Subject,,,4524,70,0.8990167589746876,,,,,,,,,,,Feature,,Category,,,
220,Subject,,,7939,1,0.44002931196812745,,,,,,,,,,,,Feature,Category,,,
221,Subject,,,7935,5,2.1935483338338764,,,,,,,,,,,,Feature,Category,,,
222,Subject,,,7930,10,4.33693857943319,,,,,,,,,,,,Feature,Category,,,
223,Subject,,,7925,15,6.330389137238107,,,,,,,,,,,,Feature,Category,,,
224,Subject,,,7920,20,8.059086047084438,,,,,,,,,,,,Feature,Category,,,
225,Subject,,,7910,30,10.476762191170689,,,,,,,,,,,,Feature,Category,,,
226,Subject,,,7900,40,5.349031711481144,,,,,,,,,,,,Feature,Category,,,
227,Subject,,,7890,50,2.638534545005405,,,,,,,,,,,,Feature,Category,,,
228,Subject,,,7880,60,1.34067161916262,,,,,,,,,,,,Feature,Category,,,
229,Subject,,,7870,70,1.0221097721579782,,,,,,,,,,,,Feature,Category,,,
230,,Category,Feature,4593,1,0.195711302733162,,,,,,,,,,,,,,Subject,,
231,,Category,Feature,4589,5,0.8990964153917294,,,,,,,,,,,,,,Subject,,
232,,Category,Feature,4584,10,1.6861327738496508,,,,,,,,,,,,,,Subject,,
233,,Category,Feature,4579,15,2.375346770784295,,,,,,,,,,,,,,Subject,,
234,,Category,Feature,4574,20,3.0097182310008264,,,,,,,,,,,,,,Subject,,
235,,Category,Feature,4564,30,4.178353204736009,,,,,,,,,,,,,,Subject,,
236,,Category,Feature,4554,40,3.9029025372507986,,,,,,,,,,,,,,Subject,,
237,,Category,Feature,4544,50,3.5827284570731663,,,,,,,,,,,,,,Subject,,
238,,Category,Feature,4534,60,3.212449135581347,,,,,,,,,,,,,,Subject,,
239,,Category,Feature,4524,70,3.088699461560827,,,,,,,,,,,,,,Subject,,
240,,,,4593,1,0.04380372809813457,Category,Feature,,,,,,,,,,,,Subject,,
241,,,,4589,5,0.21630909875879561,Category,Feature,,,,,,,,,,,,Subject,,
242,,,,4584,10,0.42793310882639807,Category,Feature,,,,,,,,,,,,Subject,,
243,,,,4579,15,0.6207526391035447,Category,Feature,,,,,,,,,,,,Subject,,
244,,,,4574,20,0.8003857815687024,Category,Feature,,,,,,,,,,,,Subject,,
245,,,,4564,30,1.1380713119862904,Category,Feature,,,,,,,,,,,,Subject,,
246,,,,4554,40,1.2036603967059332,Category,Feature,,,,,,,,,,,,Subject,,
247,,,,4544,50,1.2123158569293884,Category,Feature,,,,,,,,,,,,Subject,,
248,,,,4534,60,1.2591568780973508,Category,Feature,,,,,,,,,,,,Subject,,
249,,,,4524,70,1.2785530003276249,Category,Feature,,,,,,,,,,,,Subject,,
250,,,,4593,1,0.07210701110905463,Category,,Feature,,,,,,,,,,,Subject,,
