,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
197,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,river,,2082,row,False,2039,row
198,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,river,,2084,long,False,2039,long
199,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,river,,2085,angry,False,2039,angry
200,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,river,,2085,angry,False,2039,angry
201,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,river,,2085,angry,False,2039,angry
202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,river,,2087,line,False,2039,lines
203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,river,,2090,black,False,2039,black
204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,river,,2090,black,False,2039,black
205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,river,,2091,line,False,2039,lines
206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,man,,2107,black,False,2094,black
207,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,man,,2107,black,False,2094,black
208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,2112,prospect,False,2094,prospect
209,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,man,,2171,limp,False,2168,limping
210,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,2207,think,False,2199,thought
211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cattle,,2228,think,False,2199,thought
212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,man,,2301,time,False,2298,time
213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,2370,general,False,2354,general
214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,man,,2370,general,False,2354,general
215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,man,,2371,impression,False,2354,impression
216,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
217,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
218,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
219,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
220,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
221,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Joe Gargery,her,2378,marry,False,2354,marry
222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Joe,,2386,fair,False,2383,fair
223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Joe,,2390,curl,False,2383,curls
