,NRCw_Em_anger,NRCw_Em_anticipation,NRCw_Em_disgust,NRCw_Em_fear,NRCw_Em_joy,NRCw_Em_negative,NRCw_Em_positive,NRCw_Em_sadness,NRCw_Em_surprise,NRCw_Em_trust,agent,lemma,neg,patient,predicative,text
305,False,True,False,False,False,True,False,False,False,False,,impatient,False,,,impatient
306,True,False,False,True,False,True,False,True,False,False,,difficulty,False,,,difficulties
307,False,False,False,False,False,False,True,False,False,False,,great,False,,,greater
308,True,False,True,True,False,True,False,True,False,False,,evil,False,,,evil
309,False,False,False,False,False,False,True,False,False,False,,educate,False,,,educated
310,False,False,False,False,False,True,False,False,True,False,,wild,False,,,wild
311,False,True,False,False,False,False,False,False,False,False,,voyage,False,,,voyages
312,False,True,False,False,True,False,True,False,False,False,,celebrate,False,,,celebrated
313,False,False,False,False,False,False,True,False,False,True,,important,False,,,important
314,False,False,False,False,False,False,True,False,False,False,,benefit,False,,,benefits
315,False,False,False,False,False,True,False,False,False,False,,conviction,False,,,conviction
316,False,False,False,False,False,False,True,False,False,True,,perceive,False,,,perceived
317,False,False,False,False,False,False,False,True,False,False,,necessity,False,,,necessity
318,False,False,True,False,False,True,False,False,False,False,,illiterate,False,,,illiterate
319,False,False,False,False,True,False,True,False,False,True,,true,False,,my day dreams,true
320,False,True,False,False,False,False,False,False,False,False,,think,False,,,thought
321,False,True,False,False,True,False,True,False,True,True,,magnificent,False,,,magnificent
322,False,False,False,False,True,False,True,False,False,True,,friend,False,,,friend
323,False,False,False,False,False,False,True,False,False,False,,sense,False,,,sense
324,True,False,True,False,False,True,False,False,False,False,,despise,True,,,despise
325,False,True,False,False,True,False,True,False,False,True,,romantic,False,,,romantic
326,False,False,False,False,True,False,True,False,False,True,,affection,False,,,affection
327,False,False,False,False,False,False,True,False,False,False,,regulate,False,,,regulate
328,False,False,False,False,False,True,False,False,False,False,,useless,False,,,useless
329,True,False,False,False,False,True,False,False,False,False,,complaint,False,,,complaints
330,False,False,False,False,True,False,True,False,False,True,,friend,False,,,friend
331,False,False,False,False,False,False,False,False,False,True,,merchant,False,,,merchants
332,True,True,True,True,True,True,True,True,True,True,,feeling,False,,,feelings
333,False,False,False,False,False,True,False,False,False,False,,rugged,False,,,rugged
334,False,False,False,False,False,False,False,False,False,True,,lieutenant,False,,,lieutenant
335,False,False,False,False,True,False,True,False,True,True,,wonderful,False,,,wonderful
336,False,False,False,False,False,False,True,False,False,False,,courage,False,,,courage
337,False,False,False,False,False,False,True,False,False,False,,desirous,False,,my lieutenant,desirous
338,False,True,False,False,True,False,True,False,False,True,,glory,False,,,glory
339,False,False,False,False,False,False,True,False,False,True,,word,False,,,word
